symbol,close,price_change_pct,volume,vol_ma10,vol_ratio,rsi,bb_width,ma_alignment,is_cung_can,is_pocket_pivot,rs_score,stock_perf
ACB,26.85,1.3207547169312976,42952400,36534640.0,1.1756623303254117,74.68354411472522,0.14291376730152294,Strong Uptrend,False,False,6.943917598380269,6.972111553507086
BID,41.35,-0.1207729468569793,1667600,3195310.0,0.5218898948771792,41.55844145049754,0.07514485381696845,Sideways/Reversing,True,False,-0.867522492276957,-0.8393285371501394
BMP,136.1,0.6656804733678616,43000,67830.0,0.6339377856405626,44.680851016296955,0.07142128070520047,Sideways/Reversing,True,False,0.41461047291419095,0.4428044280410084
BSI,33.65,0.44776119401648057,104400,140750.0,0.7417406749555898,26.315789381347983,0.0915672011715014,Sideways/Reversing,True,False,-2.066039661035477,-2.0378457059086594
BVH,66.6,-1.3333333333135886,104200,355130.0,0.2934136794976479,45.13274332289136,0.0825258560648868,Strong Downtrend,False,False,-4.475826666684251,-4.447632711557435
CII,17.7,2.906976744017036,10087400,11762730.0,0.857573029390286,56.666666540740714,0.14637562527409387,Strong Uptrend,False,False,6.920446527837002,6.948640482963819
CMG,27.3,0.3676470588100182,63200,322970.0,0.1956838096417618,53.749999865625014,0.07026324144072285,Strong Downtrend,True,False,-3.9014333916101465,-3.8732394364833294
CTD,71.2,-0.5586592178692806,294200,434320.0,0.6773807331000169,46.590909037964906,0.06552342280741541,Strong Downtrend,True,False,1.686091759134411,1.7142857142612284
CTG,33.5,0.4497751124302874,2883500,6228710.0,0.46293694842110156,24.99999990384616,0.08500820312864231,Sideways/Reversing,True,False,-1.0621673672085359,-1.0339734120817183
CTR,87.5,-1.129943502812091,92000,312680.0,0.29423052321862514,44.89795913785923,0.06778179932846656,Strong Downtrend,True,False,-2.1534735971612164,-2.125279642034399
DBC,18.5,0.0,572100,1547420.0,0.3697121660570496,37.28813538255292,0.06500535812832016,Strong Downtrend,False,False,-3.118817317982206,-3.0906233628553883
DCM,37.75,-0.26420079259540136,935500,1613330.0,0.5798565699515905,25.882352880276855,0.12544909903446022,Sideways/Reversing,True,False,-2.608839116350543,-2.5806451612237256
DGC,45.7,1.2181616832509916,280800,614940.0,0.45662991511366885,42.45283010857959,0.10900009585132545,Sideways/Reversing,True,False,-0.028193955126817487,0.0
DGW,39.0,-0.3831417624423172,215600,603400.0,0.35730858468677434,30.52631572520778,0.0972762708481732,Strong Downtrend,True,False,-1.0434223814969859,-1.0152284263701683
DHC,36.95,0.6811989100631826,123600,157650.0,0.7840152235965697,53.42465738787763,0.04851755749990722,Strong Uptrend,False,False,1.6224250269460716,1.6506189820728892
DHG,93.3,0.10729613733789845,2800,6750.0,0.41481481481475335,42.857142704081554,0.022819473481098848,Sideways/Reversing,True,False,-0.7728748061827281,-0.7446808510559106
DIG,12.75,0.39370078737058034,1603700,4229610.0,0.3791602535458351,41.66666643518515,0.12804875969042948,Sideways/Reversing,True,False,-1.1909846527111,-1.1627906975842826
DPM,24.2,-0.819672131113945,1110400,2103370.0,0.5279147273185409,18.51851844993142,0.12680874678419107,Strong Downtrend,False,False,-3.80552993907205,-3.7773359839452327
DXG,13.0,0.38610038607057695,4782800,6270630.0,0.7627303795631378,48.27586173602852,0.05651744911581689,Sideways/Reversing,False,False,1.13912121987962,1.1673151750064374
EIB,20.65,0.48661800484248996,2845300,4006580.0,0.7101567920770331,27.586206706301823,0.07490009936359344,Strong Downtrend,True,False,-1.9284314847277666,-1.900237529600949
EVF,13.45,-0.7380073800193456,756400,2336440.0,0.3237403913646401,51.35135107377645,0.06517274462585929,Strong Downtrend,True,False,1.0996255936605537,1.1278195487873712
FPT,74.0,1.2311901504619613,3202300,10127420.0,0.3162009672749821,60.16949147443265,0.0810885728852734,Sideways/Reversing,True,False,-1.0977126716900554,-1.069518716563238
FRT,121.7,2.268907563006146,165600,445230.0,0.3719425914695767,23.270440236936864,0.1270992858454888,Strong Downtrend,False,False,-4.726706092913046,-4.698512137786229
FTS,23.35,1.5217391303686263,389500,496230.0,0.7849182838603052,39.9999998769231,0.0779095617240894,Sideways/Reversing,False,False,-1.5049872040096441,-1.4767932488828266
GAS,85.1,3.151515151476944,787800,1087030.0,0.7247270084542279,41.60583938568912,0.08068000675815884,Strong Uptrend,True,False,3.4997865801100576,3.527980535236875
GEX,30.35,-0.49180327867239526,4247200,8314550.0,0.5108153778617002,37.03703698216736,0.1594711422892391,Strong Downtrend,False,False,-2.1249681486075622,-2.0967741934807447
GMD,75.5,-0.1322751322733751,255900,745380.0,0.34331481928680624,84.78260851134212,0.07400057761909422,Sideways/Reversing,True,False,2.973170301312458,3.0013642564392757
GVR,34.95,-1.271186440642045,757100,2350060.0,0.32216198735351426,50.43478252098303,0.07070402128397639,Sideways/Reversing,True,False,0.9833667384855693,1.0115606936123869
HCM,27.4,-0.18214936247059824,1539900,3724640.0,0.4134359293784096,49.18032770760548,0.05129087081919298,Sideways/Reversing,True,False,2.7860649565874693,2.814258911714287
HDB,25.15,0.19920318724304828,6076200,7643520.0,0.7949478774177341,34.69387740941272,0.09038560575433133,Strong Downtrend,False,False,0.9758221090898886,1.0040160642167062
