date,action,symbol,shares,price,amount
2024-03-22,SELL,GVR,3318100,32.47999954223633,107610228.65137273
2024-03-22,SELL,TCB,2615000,20.770000457763672,54232080.870256424
2024-03-22,BUY,VHM,3234800,42.79999923706055,138657111.68834153
2024-03-22,BUY,TPB,10240500,13.520000457763672,138659242.03476048
2024-03-25,SELL,VHM,3234800,42.54999923706055,137434276.4257454
2024-03-25,SELL,TPB,10240500,13.699999809265137,140084405.77470946
2024-03-25,BUY,GVR,5108300,31.15999984741211,159413389.16136608
2024-03-25,BUY,ACB,8243100,19.309999465942383,159413017.98260623
2024-03-25,BUY,STB,5159600,30.850000381469727,159412422.46118355
2024-03-26,SELL,GAS,785800,69.19999694824219,54295791.56552582
2024-03-26,SELL,ACB,8243100,19.6200008392334,161487034.47450802
2024-03-26,SELL,STB,5159600,31.0,159707678.6
2024-03-26,BUY,VCB,842300,63.95000076293945,53945883.27108784
2024-03-26,BUY,VIB,3327200,16.190000534057617,53948170.831581876
2024-03-26,BUY,BID,1243200,43.33000183105469,53948660.06378174
2024-03-27,SELL,VCB,842300,63.619998931884766,53506744.41267605
2024-03-27,SELL,VIB,3327200,16.09000015258789,53454346.534928896
2024-03-27,SELL,MSN,699600,75.4000015258789,52670716.30590363
2024-03-27,BUY,HPG,4468700,20.670000076293945,92506581.38494615
2024-03-27,BUY,TCB,4381800,21.079999923706055,92506896.18119374
2024-03-27,BUY,STB,2989300,30.899999618530273,92507922.91296206
2024-03-28,SELL,HPG,4468700,20.639999389648438,92095614.3246132
2024-03-28,SELL,STB,2989300,32.0,95514113.60000001
2024-03-28,SELL,BID,1243200,43.0099983215332,53389824.86846009
2024-03-28,BUY,GAS,1815200,68.8499984741211,125163982.00606994
2024-03-28,BUY,VIB,7752900,16.1200008392334,125164219.63825236
2024-03-28,BUY,VRE,4872300,25.649999618530273,125161954.88107711
2024-03-29,SELL,VRE,4872300,25.850000381469727,125760033.423347
2024-03-29,BUY,HPG,7798200,20.440000534057617,159634304.98293516
2024-04-01,SELL,VIB,7752900,16.15999984741211,125098932.52277584
2024-04-01,SELL,TCB,4381800,21.950000762939453,96036242.57303353
2024-04-01,BUY,VCB,1903100,63.220001220703125,120494455.2996048
2024-04-01,BUY,PLX,3450500,34.869998931884766,120499409.7114401
2024-04-02,SELL,GAS,1815200,70.73999786376953,128214633.256131
2024-04-02,SELL,HPG,7798200,20.540000915527344,159934772.58675614
2024-04-02,SELL,PLX,3450500,35.290000915527344,121585495.93678856
2024-04-02,BUY,VIB,2612900,16.020000457763672,41921447.18488484
2024-04-02,BUY,TCB,1898300,22.049999237060547,41920299.82203961
