date,nav,returns,drawdown
2024-01-02,998502264.8121703,,0.0
2024-01-03,1008232961.9612279,0.009745293017325407,0.0
2024-01-04,1008117833.4650158,-0.00011418838756094285,-0.0001141883875609218
2024-01-05,1007150657.4874046,-0.0009593878270032219,-0.0010734666636151194
2024-01-08,1002930494.4836392,-0.004190200316498416,-0.005259168939759939
2024-01-09,999672679.6687856,-0.0032482957022170744,-0.008490381306112776
2024-01-10,1000409608.9756143,0.000737170597753023,-0.007759469567822397
2024-01-11,996987490.5528408,-0.0034207172662781282,-0.011153643882572761
2024-01-12,1001410361.443649,0.004436235090929497,-0.0067668889780268925
2024-01-15,997289916.3035793,-0.004114642007627789,-0.010853687660004696
2024-01-16,998257359.7012988,0.000970072375047426,-0.009894144147523593
2024-01-17,996727105.6956089,-0.0015329253431678458,-0.011411902506378782
2024-01-18,998385291.4905822,0.001663630682358308,-0.0097672570151742
2024-01-19,1005780549.1949561,0.007407218202636789,-0.002432387016490082
2024-01-22,1005826977.250386,4.6161218236973056e-05,-0.00238633808020097
2024-01-23,1003744901.837256,-0.002070013491606515,-0.004451411819785881
2024-01-24,1001064459.5064564,-0.0026704417884397813,-0.007109966372084537
2024-01-25,998249994.251831,-0.0028114725559360565,-0.009901449452691807
2024-01-26,1000517950.8496327,0.002271932492723394,-0.007652012384705032
2024-01-29,1000759418.0872285,0.00024134223418048606,-0.007412516904289384
2024-01-30,998829277.319514,-0.0019286760962026195,-0.009326896656326022
2024-01-31,990035851.0117044,-0.008803733037749839,-0.018048518185842875
2024-02-01,991216923.5230056,0.0011929593358606105,-0.016877089998250473
2024-02-02,991464765.7110317,0.000250038293479804,-0.01663127162355266
2024-02-05,1005210878.3069861,0.01386444891573757,-0.002997406123643492
2024-02-06,1007110339.4019619,0.0018896145435423062,-0.0011134555223053125
2024-02-07,1008268822.9445082,0.0011503044872265278,0.0
2024-02-15,1008655624.2525766,0.00038362914657907865,0.0
2024-02-16,1017131944.5712085,0.008403582069859583,0.0
2024-02-19,1020648864.0374644,0.003457682638940751,0.0
2024-02-20,1027041427.9705429,0.006263235240169696,0.0
2024-02-21,1028322812.5815349,0.0012476464688713218,0.0
2024-02-22,1031828115.5812485,0.0034087574026622214,0.0
2024-02-23,1028959770.1496966,-0.0027798674878481977,-0.0027798674878481474
2024-02-26,1033126748.5901864,0.004049700057645156,0.0
2024-02-27,1041049686.4920118,0.007668892430320984,0.0
2024-02-28,1043443064.0311718,0.0022990041399704175,0.0
2024-02-29,1036157554.0068719,-0.006982182617759181,-0.006982182617759212
2024-03-01,1037591694.731662,0.0013840952268737716,-0.005607751396519859
2024-03-04,1039105598.6304522,0.001459055528756581,-0.004156877888442282
2024-03-05,1042388392.6749406,0.003159249693982291,-0.001010760809657081
2024-03-06,1032406064.9185479,-0.009576399570966454,-0.010577480931239589
2024-03-07,1030073984.8713136,-0.0022588786781471137,-0.012812466363242642
2024-03-08,1011201636.8685045,-0.0183213519416926,-0.030899076599453148
2024-03-11,1001432393.6593075,-0.009661023927384549,-0.040261583808476296
2024-03-12,1017065413.2606779,0.015610658992412096,-0.025279434671392726
2024-03-13,1028648382.237886,0.011388617512882782,-0.014178714970924251
2024-03-14,1022293473.7307228,-0.006177921063111658,-0.020269041052169177
2024-03-15,1023294413.6153239,0.000979112075271571,-0.019309774639745918
2024-03-18,1019022472.1328176,-0.004174694423878855,-0.02340385665510987
2024-03-19,1017645727.4361887,-0.0013510444904589747,-0.024723281493979465
2024-03-20,1019674236.5245411,0.0019933352380527847,-0.022779228044128904
2024-03-21,1027050621.1012378,0.007234059969817741,-0.01570995437604856
2024-03-22,1026142546.2040404,-0.0008841578774605452,-0.016580222173592937
2024-03-25,1023882282.9223788,-0.002202679627721249,-0.018746380883709304
2024-03-26,1035572277.9306824,0.011417323263898993,-0.007543091110387836
2024-03-27,1032272798.5116229,-0.003186141121557129,-0.010705198879174488
2024-03-28,1037777933.3638152,0.005333023266843595,-0.005429266687029672
2024-03-29,1039630523.4329501,0.0017851507625816776,-0.0036538079840145107
2024-04-01,1036034463.1785117,-0.0034589791020793736,-0.007100148640634153
2024-04-02,1051828166.1434779,0.015244379918127215,0.0
2024-04-03,1043566936.483743,-0.00785416280496154,-0.007854162804961495
2024-04-04,1042711145.4608637,-0.0008200633739535723,-0.008667785267665642
2024-04-05,1028138695.9432979,-0.013975538269637489,-0.022522186572581874
2024-04-08,1029502741.6153532,0.0013267136792316503,-0.021225353386362274
2024-04-09,1032486696.0896837,0.0028984424749063376,-0.018388431377255904
2024-04-10,1032521743.0012383,3.394417738022959e-05,-0.018355111380052185
2024-04-11,1026374770.5270991,-0.005953358867070158,-0.024199195682031903
2024-04-12,1028426723.2973726,0.001999223703851971,-0.02224835158380156
2024-04-15,1017014013.4800341,-0.011097251324573398,-0.03309870735929206
2024-04-16,1023386951.4886266,0.006266322709542083,-0.027039791831331986
2024-04-17,1015014023.4113295,-0.0081815857287586,-0.035000149185134735
2024-04-19,1011043698.7911952,-0.003911595828785308,-0.03877483857636061
2024-04-22,1023818693.9241168,0.012635452995944263,-0.026629323230673352
2024-04-23,1018405835.9176323,-0.005286930233455722,-0.03177546609004431
2024-04-24,1028438391.0769385,0.00985123494531659,-0.022237258726677655
2024-04-25,1028592583.8809936,0.0001499290627351435,-0.022090663675301114
2024-04-26,1030090030.5041807,0.0014558209408208622,-0.020667002785255312
2024-05-02,1029290572.0595555,-0.0007761054091881547,-0.021427068421790176
2024-05-03,1029794986.913882,0.0004900606961910636,-0.020947508289667148
2024-05-06,1041956437.5985508,0.011809584275715546,-0.009385305378464772
2024-05-07,1051440200.1328402,0.009101880071058499,-0.00036884923139131684
2024-05-08,1055172151.6387558,0.003549371143926283,0.0
2024-05-09,1050889088.3943934,-0.004059113233523481,-0.004059113233523514
2024-05-10,1050156541.2664664,-0.0006970736836237057,-0.004753357416133308
2024-05-13,1041728002.015806,-0.00802598366953533,-0.01274119071667134
2024-05-14,1048492613.2348912,0.006493644411972532,-0.006330283066598027
2024-05-15,1059594516.043562,0.010588441605152044,0.0
2024-05-16,1061248148.6752677,0.0015606277747455266,0.0
2024-05-17,1063589355.9865165,0.002206088476263801,0.0
2024-05-20,1061273744.4485419,-0.002177166897112115,-0.002177166897112077
2024-05-21,1063503687.9221454,0.002101195365727504,-8.054618437926061e-05
2024-05-22,1065520032.2370212,0.0018959448263082823,0.0
2024-05-23,1076343819.1826217,0.010158220041040833,0.0
2024-05-24,1074638488.4294472,-0.0015843736200107372,-0.0015843736200107286
2024-05-27,1076222324.2069044,0.001473831241399104,-0.00011287747795083707
2024-05-28,1082731528.9998837,0.006048197149019385,0.0
2024-05-29,1082074764.7251458,-0.0006065809086990281,-0.0006065809086990258
2024-05-30,1088789429.840941,0.006205361528323516,0.0
2024-05-31,1088463765.3920565,-0.00029910691632273334,-0.00029910691632271155
2024-06-03,1097312460.2060838,0.00812952630613295,0.0
2024-06-04,1099435442.8973768,0.0019347111859955302,0.0
2024-06-05,1098473930.767432,-0.0008745507852747636,-0.0008745507852747572
2024-06-06,1095543954.5856209,-0.0026673151722081956,-0.0035395332549044757
2024-06-07,1095383931.3256464,-0.0001460674026858566,-0.003685083647161037
2024-06-10,1096505638.9979062,0.0010240315200737982,-0.0026648257688960467
2024-06-11,1089260292.709406,-0.006607668972064551,-0.009254886454411533
2024-06-12,1090844246.2283483,0.0014541552001334779,-0.00781418929554233
2024-06-13,1089626455.6688008,-0.0011163743712798713,-0.008921840106160315
2024-06-14,1076642421.8009863,-0.011916041318806858,-0.020731568409622415
2024-06-17,1088274192.1016808,0.010803745110876228,-0.010151801879592335
2024-06-18,1113276441.340733,0.022974218648673217,0.0
2024-06-19,1113268175.4586542,-7.4248243939756264e-06,-7.4248243939585435e-06
2024-06-20,1113510531.8245573,0.0002176980993848776,0.0
2024-06-21,1132593262.7479248,0.01713744987404775,0.0
2024-06-24,1116214323.3334115,-0.014461448741779015,-0.014461448741779
2024-06-25,1115984901.3909843,-0.00020553574491144477,-0.014664012142050806
2024-06-26,1117710968.7084763,0.0015466762277345225,-0.013140016393299677
2024-06-27,1115218099.6075654,-0.002230334290976299,-0.015341044055130053
2024-06-28,1112165724.4477997,-0.002737020822061509,-0.01803607612018046
2024-07-01,1115087168.6653545,0.002626806557094019,-0.015456646846103084
2024-07-02,1120108524.0984383,0.004503105742929447,-0.011023144018352865
2024-07-03,1119395455.488987,-0.0006366067163225964,-0.011652733327158419
2024-07-04,1129635351.3277264,0.009147701813981612,-0.002611627242971484
2024-07-05,1129007841.5380206,-0.0005554976559190017,-0.0031656741460788485
2024-07-08,1127477387.1387746,-0.0013555746407934999,-0.004516957479278935
2024-07-09,1124283599.252349,-0.002832684648807593,-0.007336847011975686
2024-07-10,1116291548.583199,-0.007108571782479589,-0.014393264290813609
2024-07-11,1113147179.7062366,-0.0028167989634547697,-0.017169520322333237
2024-07-12,1111724780.5445683,-0.0012778176934731267,-0.018425398498950005
2024-07-15,1115187540.6885514,0.003114763837761103,-0.015368025426129766
2024-07-16,1115492653.4975598,0.0002735977563199654,-0.015098632327085465
2024-07-17,1114365470.4195366,-0.001010480055147811,-0.01609385551540675
2024-07-18,1118281004.1254537,0.003513689009444043,-0.012636715309206722
2024-07-19,1114789986.7749176,-0.0031217711269863058,-0.015719037503200813
2024-07-22,1096540374.4223738,-0.016370448756307776,-0.031832158561563975
2024-07-23,1073534530.6899221,-0.02098038911204747,-0.05214469660071348
2024-07-24,1085309313.01997,0.010968238089631432,-0.04174839395851024
2024-07-25,1078660264.7796154,-0.006126408536800465,-0.04761903477816553
2024-07-26,1070385433.7662247,-0.007671396901860805,-0.05492512716415948
2024-07-29,1076376705.6181905,0.005597303235793438,-0.04963525652036842
2024-07-30,1076231427.6046755,-0.00013496948861557723,-0.04976352676379413
2024-07-31,1077737286.2199748,0.001399195913327711,-0.04843395977374717
2024-08-01,1065917237.9036092,-0.010967467181007495,-0.058870229090489806
2024-08-02,1078749842.2561345,0.012039025072681842,-0.04753994418186287
2024-08-05,1070658845.7570399,-0.007500345475993653,-0.05468372365258305
2024-08-06,1078566686.8442678,0.007385957832008128,-0.047701657497570125
2024-08-07,1073539897.2952044,-0.004660620071412658,-0.052139958266609956
2024-08-08,1072340511.6807113,-0.0011172250025499597,-0.05319893120415256
2024-08-09,1075877802.7754145,0.0032986640494996333,-0.05007575255648787
2024-08-12,1075341553.1163085,-0.0004984298939179066,-0.05054922319837122
2024-08-13,1073577107.6674855,-0.0016408232749024476,-0.05210710413132153
2024-08-14,1075257962.8222737,0.0015656585286549785,-0.05062302753465335
2024-08-15,1071156946.7848074,-0.0038139834153864127,-0.05424393556258591
2024-08-16,1080824681.1358695,0.009025506841066289,-0.045708007733026
2024-08-19,1081234712.3275113,0.00037936882715428055,-0.04534597909915706
2024-08-20,1085224875.3979087,0.0036903764047753196,-0.04182294642570079
2024-08-21,1082166909.731997,-0.0028178175189639276,-0.044522914513531686
2024-08-22,1079054877.2730045,-0.0028757416540884373,-0.047270619767792156
2024-08-23,1079097879.46246,3.985171686937683e-05,-0.04723265186627809
2024-08-26,1079397004.9790392,0.00027719961485628275,-0.04696854512432785
2024-08-27,1077736064.6797585,-0.0015387668222341944,-0.04843503830763606
2024-08-28,1077891706.727191,0.00014441573640633365,-0.04829761735295477
2024-08-29,1077794326.7043326,-9.034304861110787e-05,-0.04838359704757357
2024-08-30,1078783875.3330271,0.0009181238054205565,-0.04750989537439421
2024-09-04,1078112273.884575,-0.000622554214804949,-0.04810287210358893
2024-09-05,1076587454.8692904,-0.001414341578535594,-0.049449179790061464
2024-09-06,1078465583.8719368,0.0017445206092192578,-0.0477909242940949
2024-09-09,1074883301.6470819,-0.003321647235133618,-0.05095382693768252
2024-09-10,1070645549.5715299,-0.003942522940916793,-0.054695463246969986
2024-09-11,1062011183.3674169,-0.00806463559071302,-0.06231899985813091
2024-09-12,1056039847.2332299,-0.005622667847294371,-0.06759126866864738
2024-09-13,1053113156.810171,-0.002771382567359204,-0.07017532997231263
2024-09-16,1048438548.8453768,-0.004438846798717533,-0.07430267923223363
2024-09-17,1059451420.1778686,0.010504069451299669,-0.06457909028400691
2024-09-18,1057141347.5790596,-0.0021804422126511236,-0.06661872152214818
2024-09-19,1058542617.4715881,0.0013255274668213524,-0.06538149900050899
2024-09-20,1059722518.3867213,0.0011146465864089183,-0.06433972967877524
2024-09-23,1059227780.6257883,-0.00046685594799489305,-0.06477654824127718
2024-09-24,1060567432.2918233,0.0012647437034207787,-0.0635937302693738
2024-09-25,1059816655.0509909,-0.0007079014666798722,-0.06425661364112437
2024-09-26,1064964840.515585,0.004857618947634146,-0.0597111288374241
2024-09-27,1064075053.5481455,-0.0008355083037376865,-0.060496747997192526
2024-09-30,1062181383.9549954,-0.0017796391211650775,-0.06216872473891857
2024-10-01,1063033809.0306494,0.0008025230798907046,-0.06141609349547831
2024-10-02,1062762158.2140088,-0.00025554296987817526,-0.06165594201442635
2024-10-03,1061887944.9343251,-0.00082258600659324,-0.062427810705895224
2024-10-04,1054056055.3869411,-0.007375438797234346,-0.06934281700602286
2024-10-07,1058053241.2615563,0.003792194783367453,-0.0658135836915697
2024-10-08,1055656102.4662263,-0.0022656126382371022,-0.06793008824282752
2024-10-09,1062354693.5258849,0.00634542920181036,-0.062015704606634726
2024-10-10,1060506066.2466149,-0.0017401224756060651,-0.0636479121608142
2024-10-11,1061829932.2997017,0.0012483342577871426,-0.062479031772214
2024-10-14,1061101424.1218389,-0.0006860874380184567,-0.06312225313139394
2024-10-15,1060823005.917192,-0.00026238604370676377,-0.0633680767768317
2024-10-16,1059865567.6003945,-0.0009025429420902453,-0.06421342730847317
2024-10-17,1061543804.2223499,0.001583442913194233,-0.06273166269168248
2024-10-18,1063054689.5832031,0.0014232906403330858,-0.06139765743971104
2024-10-21,1054803161.9393021,-0.007762091381334435,-0.06868317459339862
2024-10-22,1050701548.0015957,-0.0038885112272183386,-0.0723046105250895
2024-10-23,1052911129.4924647,0.002102958252104603,-0.07035370585035394
2024-10-24,1048860441.8076955,-0.0038471316061799987,-0.07393017749114517
2024-10-25,1047658182.5954936,-0.0011462527942515122,-0.07499168761286795
2024-10-28,1049820153.1155772,0.0020636220439069763,-0.0730828200686286
2024-10-29,1050210005.5564568,0.0003713516450627452,-0.07273860784902408
2024-10-30,1048019141.2716148,-0.002086120179059958,-0.07467298655045349
2024-10-31,1051193939.1393297,0.00302933194890187,-0.07186986386542875
2024-11-01,1044643879.0576837,-0.006231067206312946,-0.07765310511988761
2024-11-04,1034456443.4433272,-0.009752065578124136,-0.08664789252453764
