date,nav,ret
2024-03-01,998876688.1254468,
2024-03-04,996318998.4534383,-0.0025605659861863694
2024-03-05,1001169657.902605,0.00486858070226126
2024-03-06,1001553132.9364152,0.00038302702322545734
2024-03-07,1003086636.1577842,0.0015311251804215331
2024-03-08,996141722.8506242,-0.006923542849460951
2024-03-11,991919812.1006889,-0.0042382631437759555
2024-03-12,1000238947.4158031,0.008386903067795215
2024-03-13,1011977037.2899256,0.011735285757916936
2024-03-14,1014164925.1456814,0.0021619935780508026
2024-03-15,1021702689.1745089,0.007432483457012529
2024-03-18,1013842488.4068959,-0.007693236839734441
2024-03-19,1010233546.991326,-0.003559666769579528
2024-03-20,1018647348.611458,0.008328570799484902
2024-03-21,1020021795.8554895,0.0013492866259408043
2024-03-22,1019294341.1846185,-0.000713175614312167
2024-03-25,1005144329.3508853,-0.01388216461330305
2024-03-26,1015146815.9961197,0.009951293911884207
2024-03-27,1016661302.1400082,0.0014918887790653645
2024-03-28,1021383556.982111,0.004644865337318116
2024-03-29,1028117306.5943942,0.00659277268196834
2024-04-01,1020416629.2312617,-0.007490076583420935
2024-04-02,1028303542.7738235,0.007729111146006495
2024-04-03,1021748871.9916129,-0.006374256734086092
2024-04-04,1021850304.6755797,9.927359525141455e-05
2024-04-05,1012428631.669286,-0.009220208638372807
2024-04-08,1006848702.3621941,-0.005511429776429599
2024-04-09,1013064419.5440332,0.006173437148258909
2024-04-10,1012088033.3375525,-0.0009637947870285712
2024-04-11,1013011409.1175473,0.0009123472954717382
2024-04-12,1026756203.3249182,0.01356825212792434
2024-04-15,1017768221.6033492,-0.008753764226077654
2024-04-16,1017985769.7178773,0.00021375015441660317
2024-04-17,1006487593.1707932,-0.011295026796170893
2024-04-19,1007538480.1133686,0.0010441131611615972
2024-04-22,1012194231.7520766,0.004620916948188558
2024-04-23,1012373632.3167024,0.00017723926791712863
2024-04-24,1010278798.3715819,-0.0020692300532627605
2024-04-25,1009691258.3066515,-0.000581562303274552
2024-04-26,1010696085.6819472,0.000995182801702077
2024-05-02,1010240662.816237,-0.00045060317553613505
2024-05-03,1007335619.8874612,-0.0028755949306944473
2024-05-06,1009193332.0301082,0.0018441839104772484
2024-05-07,1012636055.9767699,0.0034113621616349565
2024-05-08,1015657773.1343911,0.002984011027245659
2024-05-09,1019018701.9020658,0.003309115389628303
2024-05-10,1026196508.1855695,0.007043841560617103
2024-05-13,1027126690.588484,0.000906436920701692
2024-05-14,1029623889.7498666,0.0024312474636909442
2024-05-15,1033878270.9642122,0.004131976012502037
2024-05-16,1036212927.5984676,0.002258154271951307
2024-05-17,1038878191.1718171,0.0025721195927621565
2024-05-20,1044825368.7375478,0.005724614893515501
2024-05-21,1051183144.9991956,0.006085013296843966
2024-05-22,1050108609.4798399,-0.0010222153241968845
2024-05-23,1060513932.9910247,0.009908806972203532
2024-05-24,1049335242.576387,-0.010540823714696335
2024-05-27,1051443538.1305687,0.002009172539564563
2024-05-28,1059970165.0939656,0.008109448252977103
2024-05-29,1057405243.8024793,-0.0024198051756098016
2024-05-30,1054272034.1634942,-0.002963111500864035
2024-05-31,1054760903.8621473,0.00046370356303815363
2024-06-03,1063248367.1366221,0.008046812546233628
2024-06-04,1068422153.3386368,0.004866018478775436
2024-06-05,1068614933.2046151,0.00018043417143309703
2024-06-06,1066862994.4429271,-0.001639448137257582
2024-06-07,1068980039.3192773,0.001984364334856048
2024-06-10,1072270132.9706655,0.0030777877325784964
2024-06-11,1074567369.885775,0.0021424050194751576
2024-06-12,1075143606.6740565,0.0005362500336696385
2024-06-13,1073540185.8253733,-0.0014913550512971607
2024-06-14,1074243577.4157119,0.0006552075084156339
2024-06-17,1073971049.41693,-0.000253692928225413
2024-06-18,1078694544.9456306,0.004398159085633679
2024-06-19,1085061526.556941,0.005902488003804107
2024-06-20,1084478110.8243556,-0.0005376798626679502
2024-06-21,1086460725.9702864,0.0018281744243078268
2024-06-24,1081105739.3844323,-0.004928835859272951
2024-06-25,1077515822.2124429,-0.0033205976448089647
2024-06-26,1077485849.8624337,-2.7816157676108233e-05
2024-06-27,1073352050.1127077,-0.0038365234682699034
2024-06-28,1066457304.8389106,-0.006423563706868696
