date,nav,ret
2024-01-02,998502268.0330471,
2024-01-03,1008879024.7866819,0.0103923216660049
2024-01-04,1009996508.5929693,0.0011076489636838716
2024-01-05,1012357223.3121703,0.0023373493859792926
2024-01-08,1010347879.779589,-0.0019848167092709756
2024-01-09,1008068037.0058153,-0.0022564928569663856
2024-01-10,1012711717.6628568,0.004606515122564936
2024-01-11,1011827950.5842508,-0.0008726738944480061
2024-01-12,1013929699.6356457,0.0020771802658559047
2024-01-15,1018895974.0646073,0.004898046117739918
2024-01-16,1026623373.7323213,0.0075840908830835385
2024-01-17,1025144281.0807586,-0.0014407354141815487
2024-01-18,1029475561.2163279,0.004225044430822056
2024-01-19,1035212884.2346687,0.005573054120451504
2024-01-22,1037679746.9275786,0.0023829520772760127
2024-01-23,1033805072.4592378,-0.003733979081516292
2024-01-24,1031684349.2568831,-0.002051376278614958
2024-01-25,1030274454.3764756,-0.001366595200773535
2024-01-26,1031051556.9142219,0.0007542675007083943
2024-01-29,1029177989.8431482,-0.0018171419833562519
2024-01-30,1027847329.0685261,-0.0012929355152890842
2024-01-31,1016574792.22626,-0.010967131521839701
2024-02-01,1017728874.493184,0.001135265477512526
2024-02-02,1017003511.1562552,-0.0007127274808724771
2024-02-05,1038461885.0096306,0.021099606459547893
2024-02-06,1041509773.3579297,0.0029350026152099584
2024-02-07,1042138584.7880571,0.0006037499082702791
2024-02-15,1045003808.910772,0.0027493695795723916
2024-02-16,1054383467.4116255,0.008975717046074916
2024-02-19,1054898454.0341074,0.000488424409523569
2024-02-20,1055738623.5398444,0.000796445859337469
2024-02-21,1050224409.2533203,-0.0052230866272895415
2024-02-22,1049999739.0537755,-0.0002139258977084113
2024-02-23,1044225127.6236072,-0.005499631300263208
2024-02-26,1047587334.9489648,0.003219810782574495
2024-02-27,1051026671.7323334,0.003283102676624239
2024-02-28,1052904707.6073213,0.0017868584361351303
2024-02-29,1047551792.4818093,-0.005083950225349687
2024-03-01,1047811257.1428462,0.000247686713820805
2024-03-04,1051407086.5314708,0.0034317529651566314
2024-03-05,1053107490.8048803,0.0016172653724628727
2024-03-06,1050493377.5132201,-0.0024822853454989913
2024-03-07,1047225584.2192019,-0.0031107224128854583
2024-03-08,1028936311.4577708,-0.017464501476123995
2024-03-11,1028174227.1658063,-0.0007406525394023644
2024-03-12,1032078629.5853779,0.0037974132364066993
2024-03-13,1040616853.6931007,0.00827284265265038
2024-03-14,1037347332.4355651,-0.0031419068852596155
2024-03-15,1027060661.6463122,-0.00991632259283981
2024-03-18,1014880415.8497591,-0.011859324625508427
2024-03-19,1012630656.5063844,-0.0022167728416465637
2024-03-20,1019598892.3163489,0.006881320217980713
2024-03-21,1025097163.4683967,0.005392582508163324
2024-03-22,1025995676.3298874,0.0008765148256293376
2024-03-25,1020373366.8403589,-0.0054798569031403455
2024-03-26,1026869379.6063553,0.006366309604994624
2024-03-27,1026333655.182353,-0.0005217064941673843
2024-03-28,1035078222.9796989,0.00852019979388885
2024-03-29,1031973555.2083509,-0.002999452314251694
