datetime,ic
2024-01-02,-0.024630541871921176
2024-01-03,-0.32758620689655166
2024-01-04,-0.2832512315270935
2024-01-05,-0.2866995073891625
2024-01-08,-0.24827586206896549
2024-01-09,-0.141871921182266
2024-01-10,0.08575654072583148
2024-01-11,0.20246305418719207
2024-01-12,0.17389162561576352
2024-01-15,0.20246305418719207
2024-01-16,0.21234142296795433
2024-01-17,0.22364532019704428
2024-01-18,0.15566502463054185
2024-01-19,0.25594285204606093
2024-01-22,0.03497536945812807
2024-01-23,-0.051294736898134914
2024-01-24,0.07684729064039407
2024-01-25,-0.3190048059669383
2024-01-26,-0.05467980295566501
2024-01-29,-0.11039922484244975
2024-01-30,-0.20394088669950733
2024-01-31,-0.15172413793103445
2024-02-01,0.05418719211822659
2024-02-02,0.14827586206896548
2024-02-05,0.0
2024-02-06,-0.12019704433497534
2024-02-07,-0.4197044334975369
2024-02-15,-0.09556650246305416
2024-02-16,-0.2389162561576354
2024-02-19,0.06206896551724137
2024-02-20,-0.04827586206896551
2024-02-21,0.2032269999403275
2024-02-22,0.45270935960591124
2024-02-23,0.10344827586206895
2024-02-26,-0.10295566502463052
2024-02-27,0.17487684729064035
2024-02-28,0.04679802955665024
2024-02-29,-0.010099766057640519
2024-03-01,-0.038423645320197035
2024-03-04,-0.43281192593352175
2024-03-05,-0.03645320197044334
2024-03-06,0.0167487684729064
2024-03-07,-0.17093596059113297
2024-03-08,0.24839825589551198
2024-03-11,0.595566502463054
2024-03-12,0.1630541871921182
2024-03-13,0.11133004926108372
2024-03-14,0.01035759110443109
2024-03-15,-0.14459908965451182
2024-03-18,-0.25615763546798026
2024-03-19,0.0004926108374384235
2024-03-20,0.19458128078817727
2024-03-21,0.10935960591133002
2024-03-22,-0.06502463054187191
2024-03-25,0.2103707369079269
2024-03-26,0.10788177339901475
2024-03-27,0.08522167487684727
2024-03-28,0.04827586206896551
2024-03-29,-0.10492610837438422
2024-04-01,0.07783251231527093
2024-04-02,-0.13004926108374382
2024-04-03,-0.15469885571215233
2024-04-04,0.19605911330049258
2024-04-05,0.03201970443349753
2024-04-08,-0.18275862068965515
2024-04-09,0.1842364532019704
2024-04-10,0.24581280788177334
2024-04-11,0.34236453201970435
2024-04-12,-0.024630541871921176
2024-04-15,0.125615763546798
2024-04-16,0.031034482758620686
2024-04-17,0.2527093596059113
2024-04-19,0.6133004926108374
2024-04-22,0.4147783251231526
2024-04-23,-0.005173050907571973
2024-04-24,0.2551724137931034
2024-04-25,0.2113300492610837
2024-04-26,0.3852216748768472
2024-05-02,0.022167487684729058
2024-05-03,0.3088669950738916
2024-05-06,0.2247412791435584
2024-05-07,0.23251231527093594
2024-05-08,-0.041871921182266
2024-05-09,0.15812807881773394
2024-05-10,-0.1615763546798029
2024-05-13,-0.15615763546798028
2024-05-14,-0.11921182266009848
2024-05-15,-0.22512315270935954
2024-05-16,0.5428571428571427
2024-05-17,-0.13448275862068965
2024-05-20,-0.015763546798029552
2024-05-21,0.07389162561576353
2024-05-22,0.05369458128078817
2024-05-23,0.1576354679802955
2024-05-24,0.6027835986108866
2024-05-27,0.32245350657198635
2024-05-28,0.2995073891625615
2024-05-29,0.2389162561576354
2024-05-30,0.12364532019704431
2024-05-31,0.015763546798029552
2024-06-03,0.35862068965517235
2024-06-04,0.06600985221674875
2024-06-05,0.33990147783251223
2024-06-06,0.351231527093596
2024-06-07,0.11089207852478211
2024-06-10,0.22955665024630537
2024-06-11,0.15418719211822657
2024-06-12,0.283743842364532
2024-06-13,0.14679802955665022
2024-06-14,0.014041138177695355
2024-06-17,0.14384236453201968
2024-06-18,-0.10295566502463052
2024-06-19,0.0004926108374384235
2024-06-20,-0.21034482758620687
2024-06-21,-0.11921182266009848
2024-06-24,-0.3251231527093595
2024-06-25,-0.03992114826892156
2024-06-26,-0.05616455271078142
2024-06-27,-0.13842364532019702
2024-06-28,0.13793103448275862
2024-07-01,0.330336250812096
2024-07-02,0.2529868229560198
2024-07-03,0.4488237501712445
2024-07-04,0.0770372718713284
2024-07-05,-0.18376647509755675
2024-07-08,-0.07069836240348364
2024-07-09,-0.1339901477832512
2024-07-10,0.11286349325411157
2024-07-11,0.04975982301569231
2024-07-12,0.03448700605047982
2024-07-15,-0.22364532019704428
2024-07-16,-0.20344827586206893
2024-07-17,0.0251231527093596
2024-07-18,-0.02118226600985221
2024-07-19,-0.12709359605911327
2024-07-22,0.12709359605911327
2024-07-23,0.08719211822660097
2024-07-24,-0.0940886699507389
2024-07-25,-0.21379310344827585
2024-07-26,0.2014778325123152
2024-07-29,-0.042857142857142844
2024-07-30,-0.0073891625615763535
2024-07-31,0.024630541871921176
2024-08-01,0.06206896551724137
2024-08-02,-0.05320197044334973
2024-08-05,0.14334975369458125
2024-08-06,-0.21527093596059108
2024-08-07,-0.2655982290350543
2024-08-08,-0.2281069114481737
2024-08-09,-0.04827586206896551
2024-08-12,-0.0004926108374384235
2024-08-13,0.003448275862068965
2024-08-14,0.005418719211822659
2024-08-15,-0.12216748768472901
2024-08-16,0.19753694581280784
2024-08-19,-0.16430595025478598
2024-08-20,-0.5763546798029556
2024-08-21,-0.0985221674876847
2024-08-22,0.2635467980295566
2024-08-23,0.12315270935960589
2024-08-26,0.2906403940886699
2024-08-27,0.1211971926916862
2024-08-28,-0.05270935960591132
2024-08-29,-0.045320197044334966
2024-08-30,0.0625615763546798
2024-09-04,-0.0024630541871921174
2024-09-05,0.22227701073189662
2024-09-06,0.16600985221674872
2024-09-09,0.29215420839906475
2024-09-10,0.0586206896551724
2024-09-11,0.1990147783251231
2024-09-12,0.31591921037504594
2024-09-13,0.08866995073891623
2024-09-16,0.15221674876847288
2024-09-17,-0.0566502463054187
2024-09-18,-0.22315270935960585
2024-09-19,-0.04236453201970442
2024-09-20,-0.17241379310344823
2024-09-23,0.08325123152709359
2024-09-24,-0.5604138483202971
2024-09-25,-0.25665024630541866
2024-09-26,-0.112807881773399
2024-09-27,-0.225615763546798
2024-09-30,0.06380096119338767
2024-10-01,-0.029556650246305414
2024-10-02,0.024633575750342727
2024-10-03,0.14509176116951866
2024-10-04,0.01773399014778325
2024-10-07,-0.0669950738916256
2024-10-08,-0.08449316482367557
2024-10-09,0.06157635467980294
2024-10-10,0.38226600985221665
2024-10-11,0.18545020263171852
2024-10-14,0.14878679753207008
2024-10-15,0.01379310344827586
2024-10-16,-0.2554501805310541
2024-10-17,-0.13251231527093593
2024-10-18,-0.31674876847290634
2024-10-21,-0.027106952528280073
2024-10-22,0.10888040481651486
2024-10-23,0.2014778325123152
2024-10-24,0.11257544117906626
2024-10-25,0.1256312363267479
2024-10-28,-0.034733341807983244
2024-10-29,0.045320197044334966
2024-10-30,-0.30348565324422244
2024-10-31,-0.4275862068965517
2024-11-01,-0.38600813200787054
2024-11-04,0.058627910285815696
2024-11-05,-0.11773399014778321
2024-11-06,0.280295566502463
2024-11-07,0.12857142857142856
2024-11-08,0.15814755631720032
2024-11-11,0.020941119137617877
2024-11-12,-0.08744919391371668
2024-11-13,-0.12413793103448274
2024-11-14,-0.06453201970443348
2024-11-15,0.08005912118861386
2024-11-18,-0.16553762904230312
2024-11-19,-0.09286858057879209
2024-11-20,-0.0251231527093596
2024-11-21,0.1631345688520128
2024-11-22,-0.1733990147783251
2024-11-25,-0.018719211822660092
2024-11-26,0.020199532115281037
2024-11-27,0.15666954177217976
2024-11-28,0.14484542541201523
2024-11-29,0.1679802955665024
2024-12-02,0.18965517241379307
2024-12-03,0.12269031781226904
2024-12-04,-0.2557280195864395
2024-12-05,-0.02525563651049955
2024-12-06,0.0029571220939941896
2024-12-09,-0.12686291511426506
2024-12-10,0.013055795147681647
2024-12-11,0.09950738916256155
2024-12-12,0.04532577938063062
2024-12-13,0.1763546798029556
2024-12-16,0.1429275678763858
2024-12-17,0.23103448275862065
2024-12-18,-0.05320852362074029
2024-12-19,0.07689464481087925
2024-12-20,0.24532019704433491
2024-12-23,0.21061707266543034
2024-12-24,-0.14827586206896548
2024-12-25,0.04679802955665024
2024-12-26,-0.06650246305418718
2024-12-27,0.05345485937824373
2024-12-30,0.05090311986863711
2024-12-31,-0.11824278200233505
2025-01-02,-0.10428356468261495
2025-01-03,-0.22909539012952418
2025-01-06,0.1346469622331691
2025-01-07,-0.008210180623973728
2025-01-08,0.20062953520303609
2025-01-09,-0.0421455938697318
2025-01-10,0.34537493158182814
2025-01-13,0.15738333252625614
2025-01-14,0.22167487684729065
2025-01-15,0.527986866857649
2025-01-16,0.35144382428471804
2025-01-17,-0.15862068965517237
2025-01-20,0.40201995624559334
