date,action,symbol,shares,price,amount
2025-04-01,SELL,VPB,1058000,18.31999969482422,19353485.837608337
2025-04-01,SELL,GVR,602200,31.399999618530273,18880716.15062351
2025-04-01,BUY,VCB,1959000,64.08000183105469,125721022.6724167
2025-04-02,SELL,VCB,1959000,64.37999725341797,125931233.99751663
2025-04-02,SELL,VIC,663300,30.200000762939453,20001613.015298653
2025-04-02,BUY,MBB,11846200,18.260000228881836,216636082.13344708
2025-04-02,BUY,SSB,13578900,15.930000305175781,216636348.96566737
2025-04-02,BUY,STB,5511100,39.25,216635141.0125
2025-04-03,SELL_STOP,VRE,1437300,18.75,26908950.9375
2025-04-03,SELL_STOP,MBB,11846200,16.989999771118164,200965034.88568708
2025-04-03,SELL_STOP,STB,5511100,36.54999923706055,201128554.74417135
2025-04-03,SELL,SSB,13578900,15.510000228881836,210292828.99480164
2025-04-03,BUY,VCB,159300,59.90999984741211,9557978.47015629
2025-04-03,BUY,VIC,339600,28.100000381469727,9557074.26974144
2025-04-03,BUY,GVR,325900,29.280000686645508,9556665.75211344
2025-04-03,BUY,CTG,356100,26.799999237060547,9557794.947909737
2025-04-04,SELL,VCB,159300,59.61000061035156,9481629.287583161
2025-04-04,SELL,GVR,325900,27.260000228881836,8870708.023480702
2025-04-04,SELL,CTG,356100,26.559999465942383,9443828.78610735
2025-04-04,BUY,GAS,878500,55.290000915527344,48645124.20299721
2025-04-04,BUY,SHB,4790300,10.140000343322754,48646504.11008592
2025-04-04,BUY,MSN,837400,58.0,48642053.800000004
2025-04-08,SELL_STOP,GAS,878500,51.43000030517578,45113483.38519478
2025-04-08,SELL_STOP,MSN,837400,54.0,45151770.6
2025-04-08,SELL,VHM,2063300,47.0,96829637.35000001
2025-04-08,SELL,SHB,4790300,9.460000038146973,45248263.82546134
2025-04-08,SELL,VIC,339600,27.549999237060547,9341945.771294404
2025-04-08,BUY,ACB,6897200,18.510000228881836,127858674.33901176
2025-04-08,BUY,TPB,12078400,10.569999694824219,127860187.34043579
2025-04-08,BUY,SAB,3321200,38.439998626708984,127858423.82418442
2025-04-08,BUY,FPT,1442700,88.48999786376953,127856016.6979374
2025-04-08,BUY,CTG,5168700,24.700000762939453,127858394.28432027
2025-04-09,SELL,SAB,3321200,39.790000915527344,131952325.21408844
2025-04-09,SELL,CTG,5168700,23.200000762939453,119733973.17749006
2025-04-09,BUY,TCB,616400,22.520000457763672,13902150.274588777
2025-04-09,BUY,VJC,175500,79.0999984741211,13902872.806806566
2025-04-10,SELL,FPT,1442700,94.80999755859375,136577209.90256652
2025-04-10,SELL,TCB,616400,24.09000015258789,14826802.479914093
2025-04-10,SELL,VJC,175500,84.5999984741211,14825028.78260994
2025-04-10,SELL,ACB,6897200,19.469999313354492,134087046.54517251
2025-04-10,SELL,TPB,12078400,11.109999656677246,133989733.32343064
2025-04-10,BUY,GVR,1912200,25.239999771118164,48336323.45367565
2025-04-10,BUY,VHM,931700,51.79999923706055,48334452.37810307
2025-04-10,BUY,SHB,4904900,9.84000015258789,48336613.07355099
2025-04-10,BUY,VIC,1585000,30.450000762939453,48335646.08607292
2025-04-10,BUY,VRE,2507200,19.25,48335995.4
2025-04-11,SELL,VHM,931700,53.5,49771181.075
2025-04-11,SELL,SHB,4904900,10.220000267028809,50052887.19078498
2025-04-11,SELL,GVR,1912200,25.6299991607666,48936169.868625075
2025-04-11,SELL,VRE,2507200,19.399999618530273,48566719.52501374
2025-04-11,BUY,TCB,2475500,25.3799991607666,62922430.20436144
2025-04-11,BUY,MBB,3571800,17.59000015258789,62922204.48883095
2025-04-11,BUY,HPG,3478900,18.059999465942383,62923175.54028006
2025-04-11,BUY,STB,1659900,37.849998474121094,62921453.2858944
2025-04-14,SELL,VIC,1585000,34.79999923706055,55075261.792554855
2025-04-14,SELL,TCB,2475500,25.329999923706055,62610358.18891764
2025-04-14,SELL,MBB,3571800,17.59000015258789,62733720.60119591
2025-04-14,SELL,HPG,3478900,18.84000015258789,65444162.81604176
